trip_id,stop_id,stop_sequence,departure_time,arrival_time,timepoint
CBUS_202305001,T3,1,04:55:00,04:55:00,0
CBUS_202305001,T1,2,05:03:00,05:03:00,0
CBUS_202305001,T2,3,05:08:00,05:08:00,0
CBUS_202305002,T3,1,04:59:00,04:59:00,0
CBUS_202305002,T1,2,05:07:00,05:07:00,0
CBUS_202305002,T2,3,05:12:00,05:12:00,0
CBUS_202305003,T3,1,05:03:00,05:03:00,0
CBUS_202305003,T1,2,05:11:00,05:11:00,0
CBUS_202305003,T2,3,05:16:00,05:16:00,0
CBUS_202305004,T3,1,05:07:00,05:07:00,0
CBUS_202305004,T1,2,05:15:00,05:15:00,0
CBUS_202305004,T2,3,05:20:00,05:20:00,0
CBUS_202305005,T3,1,05:11:00,05:11:00,0
CBUS_202305005,T1,2,05:19:00,05:19:00,0
CBUS_202305005,T2,3,05:24:00,05:24:00,0
CBUS_202305006,T3,1,05:15:00,05:15:00,0
CBUS_202305006,T1,2,05:23:00,05:23:00,0
CBUS_202305006,T2,3,05:28:00,05:28:00,0
CBUS_202305007,T3,1,05:19:00,05:19:00,0
CBUS_202305007,T1,2,05:27:00,05:27:00,0
CBUS_202305007,T2,3,05:32:00,05:32:00,0
CBUS_202305008,T3,1,05:23:00,05:23:00,0
CBUS_202305008,T1,2,05:31:00,05:31:00,0
CBUS_202305008,T2,3,05:36:00,05:36:00,0
CBUS_202305009,T3,1,05:27:00,05:27:00,0
CBUS_202305009,T1,2,05:35:00,05:35:00,0
CBUS_202305009,T2,3,05:40:00,05:40:00,0
CBUS_202305010,T3,1,05:31:00,05:31:00,0
CBUS_202305010,T1,2,05:39:00,05:39:00,0
CBUS_202305010,T2,3,05:44:00,05:44:00,0
CBUS_202305011,T3,1,05:35:00,05:35:00,0
CBUS_202305011,T1,2,05:43:00,05:43:00,0
CBUS_202305011,T2,3,05:48:00,05:48:00,0
CBUS_202305012,T3,1,05:39:00,05:39:00,0
CBUS_202305012,T1,2,05:47:00,05:47:00,0
CBUS_202305012,T2,3,05:52:00,05:52:00,0
CBUS_202305013,T3,1,05:43:00,05:43:00,0
CBUS_202305013,T1,2,05:51:00,05:51:00,0
CBUS_202305013,T2,3,05:56:00,05:56:00,0
CBUS_202305014,T3,1,05:47:00,05:47:00,0
CBUS_202305014,T1,2,05:55:00,05:55:00,0
CBUS_202305014,T2,3,06:00:00,06:00:00,0
CBUS_202305015,T3,1,05:51:00,05:51:00,0
CBUS_202305015,T1,2,05:59:00,05:59:00,0
CBUS_202305015,T2,3,06:04:00,06:04:00,0
CBUS_202305016,T3,1,05:55:00,05:55:00,0
CBUS_202305016,T1,2,06:03:00,06:03:00,0
CBUS_202305016,T2,3,06:08:00,06:08:00,0
CBUS_202305017,T3,1,05:59:00,05:59:00,0
CBUS_202305017,T1,2,06:07:00,06:07:00,0
CBUS_202305017,T2,3,06:12:00,06:12:00,0
CBUS_202305018,T3,1,06:03:00,06:03:00,0
CBUS_202305018,T1,2,06:11:00,06:11:00,0
CBUS_202305018,T2,3,06:16:00,06:16:00,0
CBUS_202305019,T3,1,06:07:00,06:07:00,0
CBUS_202305019,T1,2,06:15:00,06:15:00,0
CBUS_202305019,T2,3,06:20:00,06:20:00,0
CBUS_202305020,T3,1,06:11:00,06:11:00,0
CBUS_202305020,T1,2,06:19:00,06:19:00,0
CBUS_202305020,T2,3,06:24:00,06:24:00,0
CBUS_202305021,T3,1,06:15:00,06:15:00,0
CBUS_202305021,T1,2,06:23:00,06:23:00,0
CBUS_202305021,T2,3,06:28:00,06:28:00,0
CBUS_202305022,T3,1,06:19:00,06:19:00,0
CBUS_202305022,T1,2,06:27:00,06:27:00,0
CBUS_202305022,T2,3,06:32:00,06:32:00,0
CBUS_202305023,T3,1,06:23:00,06:23:00,0
CBUS_202305023,T1,2,06:31:00,06:31:00,0
